00001 A00     0 Cholera                                                      Cholera
09815 M9035   1 Osteonecrosis in caisson disease (Pelvic region an           Osteonecrosis in caisson disease (Pelvic region and thigh)
09816 M9036   1 Osteonecrosis in caisson disease (Lower leg)                 Osteonecrosis in caisson disease (Lower leg)
09817 M9037   1 Osteonecrosis in caisson disease (Ankle and foot)            Osteonecrosis in caisson disease (Ankle and foot)
09818 M9038   1 Osteonecrosis in caisson disease (Other)                     Osteonecrosis in caisson disease (Other)
09819 M9039   1 Osteonecrosis in caisson disease (Site unspecified           Osteonecrosis in caisson disease (Site unspecified)
09820 M904    0 Osteonecrosis due to heamoglobinopathy                       Osteonecrosis due to heamoglobinopathy
09821 M9040   1 Osteonecrosis due to haemoglobinopathy (Multiple s           Osteonecrosis due to haemoglobinopathy (Multiple sites)
09822 M9041   1 Osteonecrosis due to haemoglobinopathy (Shoulder r           Osteonecrosis due to haemoglobinopathy (Shoulder region)
09823 M9042   1 Osteonecrosis due to haemoglobinopathy (Upper arm)           Osteonecrosis due to haemoglobinopathy (Upper arm)
09824 M9043   1 Osteonecrosis due to haemoglobinopathy (Forearm)             Osteonecrosis due to haemoglobinopathy (Forearm)
09825 M9044   1 Osteonecrosis due to haemoglobinopathy (Hand)                Osteonecrosis due to haemoglobinopathy (Hand)
09826 M9045   1 Osteonecrosis due to haemoglobinopathy (Pelvic reg           Osteonecrosis due to haemoglobinopathy (Pelvic region and thigh)
09827 M9046   1 Osteonecrosis due to haemoglobinopathy (Lower leg)           Osteonecrosis due to haemoglobinopathy (Lower leg)
09828 M9047   1 Osteonecrosis due to haemoglobinopathy (Ankle and            Osteonecrosis due to haemoglobinopathy (Ankle and foot)
09829 M9048   1 Osteonecrosis due to haemoglobinopathy (Other)               Osteonecrosis due to haemoglobinopathy (Other)
09830 M9049   1 Osteonecrosis due to haemoglobinopathy (Site unspe           Osteonecrosis due to haemoglobinopathy (Site unspecified)
09831 M905    0 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere
09832 M9050   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Multiple sites)
09833 M9051   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Shoulder region)
09834 M9052   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Upper arm)
09835 M9053   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Forearm)
09836 M9054   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Hand)
09837 M9055   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Pelvic region and thigh)
09838 M9056   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Lower leg)
09839 M9057   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Ankle and foot)
09840 M9058   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Other)
09841 M9059   1 Osteonecrosis in other diseases classified elsewhe           Osteonecrosis in other diseases classified elsewhere (Site unspecified)
09842 M906    0 Osteitis deformans in neoplastic disease                     Osteitis deformans in neoplastic disease
09843 M9060   1 Osteitis deformans in neoplastic disease (Multiple           Osteitis deformans in neoplastic disease (Multiple sites)
09844 M9061   1 Osteitis deformans in neoplastic disease (Shoulder           Osteitis deformans in neoplastic disease (Shoulder region)
09845 M9062   1 Osteitis deformans in neoplastic disease (Upper ar           Osteitis deformans in neoplastic disease (Upper arm)
09846 M9063   1 Osteitis deformans in neoplastic disease (Forearm)           Osteitis deformans in neoplastic disease (Forearm)
09847 M9064   1 Osteitis deformans in neoplastic disease (Hand)              Osteitis deformans in neoplastic disease (Hand)
09848 M9065   1 Osteitis deformans in neoplastic disease (Pelvic r           Osteitis deformans in neoplastic disease (Pelvic region and thigh)
09849 M9066   1 Osteitis deformans in neoplastic disease (Lower le           Osteitis deformans in neoplastic disease (Lower leg)
09850 M9067   1 Osteitis deformans in neoplastic disease (Ankle an           Osteitis deformans in neoplastic disease (Ankle and foot)
09851 M9068   1 Osteitis deformans in neoplastic disease (Other)             Osteitis deformans in neoplastic disease (Other)
09852 M9069   1 Osteitis deformans in neoplastic disease (Site uns           Osteitis deformans in neoplastic disease (Site unspecified)
09853 M907    0 Fracture of bone in neoplastic disease                       Fracture of bone in neoplastic disease
09854 M9070   1 Fracture of bone in neoplastic disease (Multiple s           Fracture of bone in neoplastic disease (Multiple sites)
09855 M9071   1 Fracture of bone in neoplastic disease (Shoulder r           Fracture of bone in neoplastic disease (Shoulder region)
09856 M9072   1 Fracture of bone in neoplastic disease (Upper arm)           Fracture of bone in neoplastic disease (Upper arm)
09857 M9073   1 Fracture of bone in neoplastic disease (Forearm)             Fracture of bone in neoplastic disease (Forearm)
09858 M9074   1 Fracture of bone in neoplastic disease (Hand)                Fracture of bone in neoplastic disease (Hand)
09859 M9075   1 Fracture of bone in neoplastic disease (Pelvic reg           Fracture of bone in neoplastic disease (Pelvic region and thigh)
09860 M9076   1 Fracture of bone in neoplastic disease (Lower leg)           Fracture of bone in neoplastic disease (Lower leg)
09861 M9077   1 Fracture of bone in neoplastic disease (Ankle and            Fracture of bone in neoplastic disease (Ankle and foot)
09862 M9078   1 Fracture of bone in neoplastic disease (Other)               Fracture of bone in neoplastic disease (Other)
09863 M9079   1 Fracture of bone in neoplastic disease (Site unspe           Fracture of bone in neoplastic disease (Site unspecified)
09864 M908    0 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere
09865 M9080   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Multiple sites)
09866 M9081   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Shoulder region)
09867 M9082   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Upper arm)
09868 M9083   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Forearm)
09869 M9084   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Hand)
09870 M9085   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Pelvic region and thigh)
09871 M9086   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Lower leg)
09872 M9087   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Ankle and foot)
09873 M9088   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Other)
09874 M9089   1 Osteopathy in other diseases classified elsewhere            Osteopathy in other diseases classified elsewhere (Site unspecified)
09875 M91     0 Juvenile osteochondrosis of hip and pelvis                   Juvenile osteochondrosis of hip and pelvis
09876 M910    0 Juvenile osteochondrosis of pelvis                           Juvenile osteochondrosis of pelvis
09877 M9100   1 Juvenile osteochondrosis of pelvis-Mult sites                Juvenile osteochondrosis of pelvis-Mult sites
09878 M9101   1 Juvenile osteochondrosis of pelvis-Shldr region              Juvenile osteochondrosis of pelvis-Shldr region
09879 M9102   1 Juvenile osteochondrosis of pelvis-Upper arm                 Juvenile osteochondrosis of pelvis-Upper arm
09880 M9103   1 Juvenile osteochondrosis of pelvis-Forearm                   Juvenile osteochondrosis of pelvis-Forearm
09881 M9104   1 Juvenile osteochondrosis of pelvis-Hand                      Juvenile osteochondrosis of pelvis-Hand
09882 M9105   1 Juvenile osteochondrosis of pelvis-Pelvic/Thigh              Juvenile osteochondrosis of pelvis-Pelvic/Thigh
09883 M9106   1 Juvenile osteochondrosis of pelvis-Lower Leg                 Juvenile osteochondrosis of pelvis-Lower Leg
09884 M9107   1 Juvenile osteochondrosis of pelvis-Ankle/Foot                Juvenile osteochondrosis of pelvis-Ankle/Foot
09885 M9108   1 Juvenile osteochondrosis of pelvis-Other                     Juvenile osteochondrosis of pelvis-Other
09886 M9109   1 Juvenile osteochondrosis of pelvis-Site unspec               Juvenile osteochondrosis of pelvis-Site unspec
09887 M911    0 Juvenile osteochondrosis of head of femur [Legg-Ca           Juvenile osteochondrosis of head of femur [Legg-Calve-Perthes]
09888 M9110   1 Juv osteochondrosis head of femur [Legg-Calve-Pert           Juv osteochondrosis head of femur [Legg-Calve-Perthes]-Mult
09889 M9111   1 Juv osteochondrosis head of femur [Legg-Calve-Pert           Juv osteochondrosis head of femur [Legg-Calve-Perthes]-Shld
09890 M9112   1 Juv osteochondrosis head of femur [Legg-Calve-Pert           Juv osteochondrosis head of femur [Legg-Calve-Perthes]-Uppe
09891 M9113   1 Juv osteochondrosis head of femur [Legg-Calve-Pert           Juv osteochondrosis head of femur [Legg-Calve-Perthes]-Fore
09892 M9114   1 Juv osteochondrosis head of femur [Legg-Calve-Pert           Juv osteochondrosis head of femur [Legg-Calve-Perthes]-Hand
